22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,3,Georgetown University
12,Kelly Oubre Jr.\oubreke01,SF,6-7,205,December 9 1995,us,1,University of Kansas
28,Ian Mahinmi\mahinia01,C,6-11,250,November 5 1986,fr,8,
44,Andrew Nicholson\nichoan01,PF,6-9,250,December 8 1989,ca,4,St. Bonaventure University
14,Jason Smith\smithja02,C,7-0,245,March 2 1986,us,8,Colorado State University
32,Daniel Ochefu\ochefda01,C,6-11,245,December 15 1993,us,R,Villanova University
31,Tomas Satoransky\satorto01,SG,6-7,210,October 30 1991,cz,R,
3,Bradley Beal\bealbr01,SG,6-5,207,June 28 1993,us,4,University of Florida
15,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,7,Louisiana State University
9,Sheldon McClellan\mcclesh01,SG,6-5,200,December 21 1992,us,R,University of Miami
4,Danuel House\houseda01,SG,6-7,207,June 7 1993,us,R,Texas A&M University

92,Lucas Nogueira\noguelu01,C,7-0,241,July 26 1992,br,2,
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,6,University of Kentucky
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,10,Villanova University
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,4,
31,Terrence Ross\rosste01,SF,6-7,206,February 5 1991,us,4,University of Washington
20,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,2,
55,Delon Wright\wrighde01,PG,6-5,183,April 26 1992,us,1,University of Utah
5,DeMarre Carroll\carrode01,SF,6-8,215,July 27 1986,us,7,University of Missouri
6,Cory Joseph\josepco01,SG,6-3,193,August 20 1991,ca,5,University of Texas at Austin
24,Norman Powell\powelno01,SG,6-4,215,May 25 1993,us,1,University of California Los Angeles
10,DeMar DeRozan\derozde01,SG,6-7,221,August 7 1989,us,7,University of Southern California
0,Jared Sullinger\sullija01,PF,6-9,260,March 4 1992,us,4,Ohio State University
42,Jakob Poeltl\poeltja01,C,7-0,248,October 15 1995,at,R,University of Utah
43,Pascal Siakam\siakapa01,PF,6-9,230,February 4 1994,cm,R,New Mexico State University
23,Fred VanVleet\vanvlfr01,PG,6-0,195,February 25 1994,us,R,Wichita State University

0,Avery Bradley\bradlav01,SG,6-2,180,November 26 1990,us,6,University of Texas at Austin
41,Kelly Olynyk\olynyke01,C,7-0,238,April 19 1991,ca,3,Gonzaga University
4,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,5,University of Washington
36,Marcus Smart\smartma01,PG,6-4,220,March 6 1994,us,2,Oklahoma State University
13,James Young\youngja01,SG,6-6,215,August 16 1995,us,2,University of Kentucky
12,Terry Rozier\roziete01,PG,6-2,190,March 17 1994,us,1,University of Louisville
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,4,Marquette University
8,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,6,
90,Amir Johnson\johnsam01,PF,6-9,240,May 1 1987,us,11,
55,Jordan Mickey\mickejo01,PF,6-8,235,July 9 1994,us,1,Louisiana State University
42,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,9,University of Florida
7,Jaylen Brown\brownja02,SF,6-7,225,October 24 1996,us,R,University of California
9,Demetrius Jackson\jacksde01,PG,6-1,201,September 7 1994,us,R,University of Notre Dame
30,Gerald Green\greenge01,SG,6-7,205,January 26 1986,us,9,
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,4,University of North Carolina

25,Derrick Rose\rosede01,PG,6-3,190,October 4 1988,us,7,University of Memphis
7,Carmelo Anthony\anthoca01,SF,6-8,240,May 29 1984,us,13,Syracuse University
6,Kristaps Porzingis\porzikr01,PF,7-3,240,August 2 1995,lv,1,
